ProductID,ProductName,CategoryName,ProductDescription,ProductStandardCost,ProductListPrice,Profit
P001,Intel Xeon E5-2699 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,3410.46,542.95
P002,Intel Xeon E5-2697 V3,CPU,"Speed:2.6GHz,Cores:14",2326.27,2774.98,448.71
P003,Intel Xeon E5-2698 V3 (OEM/Tray),CPU,Speed:2.3GHz,2035.18,2660.72,625.54
P004,Intel Xeon E5-2697 V4,CPU,"Cores:18,TDP:145W",2144.4,2554.99,410.59
P005,Intel Xeon E5-2685 V3 (OEM/Tray),CPU,"Speed:2.6GHz,Cores:12",2012.11,2501.69,489.58
P006,Intel Xeon E5-2695 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:14",1925.13,2431.95,506.82
P007,Intel Xeon E5-2697 V2,CPU,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,275.5
P008,Intel Xeon E5-2695 V4,CPU,"Speed:2.1GHz,Cores:18,TDP:120W",1780.35,2269.99,489.64
P009,Intel Xeon E5-2695 V2,CPU,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,2259.99,466.46
P010,Intel Xeon E5-2643 V2 (OEM/Tray),CPU,"Speed:3.5GHz,Cores:6",1940.18,2200,259.82
P011,Intel Xeon E5-2690 (OEM/Tray),CPU,"Speed:2.9GHz,Cores:8",1888.33,2116.72,228.39
P012,Intel Xeon E5-2687W V3,CPU,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,2064.99,283.52
P013,Intel Xeon E5-2687W V4,CPU,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,2042.69,318.86
P014,Intel Xeon E5-2667 V3 (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8,TDP:135W",1504.08,2009.46,505.38
P015,Intel Xeon E5-2690 V4,CPU,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,1994.49,495.23
P016,Intel Xeon E5-2690 V3,CPU,"Speed:2.6GHz,Cores:12,TDP:135W",1540.35,1908.73,368.38
P017,Intel Xeon E5-2470V2,CPU,"Speed:2.4GHz,Cores:10,TDP:95W",1671.95,1904.7,232.75
P018,Intel Xeon E5-2683 V4,CPU,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,1899.99,193.04
P019,Intel Xeon E5-2637 V2 (OEM/Tray),CPU,"Speed:3.5GHz,Cores:4,TDP:130W",1323.12,1850,526.88
P020,Intel Xeon E5-2683 V4 (OEM/Tray),CPU,"Speed:2.1GHz,Cores:16,TDP:120W",1369.83,1844.89,475.06
P021,Intel Core i7-4960X Extreme Edition,CPU,"Speed:3.6GHz,Cores:6,TDP:130W",1496.43,1805.97,309.54
P022,Intel Xeon E5-2699 V4 (OEM/Tray),CPU,"Speed:2.2GHz,Cores:22,TDP:145W",1535.62,1756,220.38
P023,Intel Xeon E5-1680 V3 (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,232.14
P024,Intel Xeon E5-2643 V4 (OEM/Tray),CPU,"Speed:3.4GHz,Cores:6,TDP:135W",1225.59,1708.86,483.27
P025,Intel Core i7-6950X (OEM/Tray),CPU,"Speed:3.0GHz,Cores:10,TDP:140W",1479.56,1704.37,224.81
P026,Intel Xeon E5-2670 V3,CPU,"Speed:2.3GHz,Cores:12,TDP:120W",1453.94,1676.98,223.04
P027,Intel Xeon E5-2680,CPU,"Speed:2.7GHz,Cores:8,TDP:130W",1479.95,1666.61,186.66
P028,Intel Xeon E5-2680 V4,CPU,"Speed:2.4GHz,Cores:14,TDP:120W",1365.13,1639.99,274.86
P029,Intel Xeon E5-2680 V3 (OEM/Tray),CPU,"Speed:2.5GHz,Cores:12,TDP:120W",1166.89,1638.89,472
P030,Intel Core i7-6950X,CPU,"Speed:3.0GHz,Cores:10,TDP:140W",1052.92,1499.89,446.97
P031,Intel Xeon E5-2643 V3 (OEM/Tray),CPU,"Speed:3.4GHz,Cores:6,TDP:135W",1266.37,1469.96,203.59
P032,Intel Xeon E5-2660 V4,CPU,"Speed:2.0GHz,Cores:14,TDP:105W",1194.03,1388.89,194.86
P033,Intel Xeon E5-2660 V3,CPU,"Speed:2.6GHz,Cores:10,TDP:105W",1041.99,1299.73,257.74
P034,Intel Xeon E5-2660 V3 (OEM/Tray),CPU,"Speed:2.6GHz,Cores:10",902.18,1274.99,372.81
P035,Intel Xeon E5-2650 V2,CPU,"Speed:2.6GHz,Cores:8",961.11,1249,287.89
P036,Intel Xeon E5-2650 V3,CPU,"Speed:2.3GHz,Cores:10",906.63,1204.98,298.35
P037,Intel Core i7-990X Extreme Edition,CPU,"Speed:3.47GHz,Cores:6",1072.79,1199.99,127.2
P038,Intel Xeon E5-2650 V4,CPU,"Speed:2.2GHz,Cores:12",945.11,1099.99,154.88
P039,Intel Xeon E5-2650,CPU,"Speed:2.0GHz,Cores:8",869.03,1064.99,195.96
P040,Intel Core i9-7900X,CPU,"Speed:3.3GHz,Cores:10",855.82,1029.99,174.17
P041,Intel Xeon E5-1660 V3 (OEM/Tray),CPU,"Speed:3.0GHz,Cores:8",914.52,1019.99,105.47
P042,Intel Xeon E5-2650L V3 (OEM/Tray),CPU,"Speed:1.8GHz,Cores:12",779.17,1010.46,231.29
P043,Intel Core i7-5960X,CPU,"Speed:3.0GHz,Cores:8",865.59,1009.79,144.2
P044,Intel Core 2 Extreme QX6800,CPU,"Speed:2.93GHz,Cores:4,TDP:100W",787.72,1003.98,216.26
P045,Intel Core i7-5960X (OEM/Tray),CPU,"Speed:3.0GHz,Cores:8,TDP:140W",879.8,977.99,98.19
P046,Intel Xeon E5-2650 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:10,TDP:105W",799.98,939.49,139.51
P047,Intel Xeon E5-2640 V4,CPU,"Speed:2.4GHz,Cores:10",738.71,899.99,161.28
P048,Intel Xeon E5-2640 V3,CPU,"Speed:2.6GHz,Cores:8",668.24,899.99,231.75
P049,Intel Core 2 Extreme QX9775,CPU,Speed:3.2GHz,737.68,892,154.32
P050,Intel Core i7-6900K,CPU,"Speed:3.2GHz,Cores:8",792.89,889.89,97
P051,Intel Core i7-6900K (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8",620.28,827.37,207.09
P052,AMD Opteron 6378,CPU,"Speed:2.4GHz,Cores:16",651.92,826.99,175.07
P053,Intel Core i7-3960X Extreme Edition,CPU,Speed:3.3GHz,573.41,800.74,227.33
P054,Intel Core i7-4770K,CPU,"Speed:3.5GHz,Cores:4",714.15,799,84.85
P055,Intel Xeon E5-2687W,CPU,"Speed:3.1GHz,Cores:8",581.16,710.99,129.83
P056,Intel Xeon E5-2680 V2,CPU,"Speed:2.8GHz,Cores:10",567.81,701.95,134.14
P057,Intel Core i7-980,CPU,"Speed:3.33GHz,Cores:6",563.7,699.99,136.29
P058,Intel Core i7-7820X,CPU,"Speed:3.6GHz,Cores:8",511.1,678.75,167.65
P059,Intel Core i7-3930K,CPU,"Speed:3.2GHz,Cores:6",509.32,660,150.68
P060,Intel Xeon E5-2630 V4,CPU,"Speed:2.2GHz,Cores:10",528.95,647.99,119.04
P061,Intel Xeon E5-2630 V3,CPU,"Speed:2.4GHz,Cores:8",499.96,629.99,130.03
P062,Intel Core i7-4930K,CPU,"Speed:2.4GHz,Cores:8",527.69,624.04,96.35
